epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,160.878,0.24667,1.46102,0.94588,0.00539,1,0.58056,0.33528,1.28117,3.09943,2.53017,0.0630989,9.8938e-05,9.8938e-05
39,165.224,0.2894,1.51494,0.91985,0.00525,1,0.58056,0.39825,1.20854,3.06082,2.47808,0.0620941,9.4088e-05,9.4088e-05
40,169.563,0.3408,1.52215,1.02303,0.00525,1,0.58056,0.39825,1.20854,3.06082,2.47808,0.0610888,8.8842e-05,8.8842e-05
41,173.689,0.44147,1.83041,1.12282,0.00515,1,0.58056,0.39053,1.18742,3.02271,2.545,0.0600832,8.32e-05,8.32e-05
42,177.861,0.5154,1.88612,1.19899,0.00515,1,0.58056,0.39053,1.18742,3.02271,2.545,0.0590772,7.7162e-05,7.7162e-05
43,181.994,0.32766,1.65583,0.87709,0.00519,1,0.58056,0.37712,1.22552,3.03577,2.84521,0.0580707,7.0728e-05,7.0728e-05
44,186,0.39634,1.72244,1.09611,0.00519,1,0.58056,0.37712,1.22552,3.03577,2.84521,0.0570639,6.3898e-05,6.3898e-05
45,190.087,0.30997,1.56866,0.94961,0.00518,1,0.58042,0.37285,1.28226,3.06571,3.04748,0.0560567,5.6672e-05,5.6672e-05
46,194.237,0.29738,1.49231,0.92327,0.00518,1,0.58042,0.37285,1.28226,3.06571,3.04748,0.0550491,4.905e-05,4.905e-05
47,198.368,0.23511,1.68671,0.86946,0.00524,1,0.55673,0.35649,1.29952,3.08202,3.13191,0.054041,4.1032e-05,4.1032e-05
48,202.625,0.32054,1.50487,1.0027,0.00524,1,0.55673,0.35649,1.29952,3.08202,3.13191,0.0530326,3.2618e-05,3.2618e-05
49,206.99,0.25501,1.57368,0.92591,0.00513,1,0.58042,0.35796,1.31559,3.06562,3.21022,0.0520238,2.3808e-05,2.3808e-05
50,211.174,0.30388,1.38824,0.99104,0.00513,1,0.58042,0.35796,1.31559,3.06562,3.21022,0.0510146,1.4602e-05,1.4602e-05
1,4.619,1.83834,3.52466,2.23192,0.01472,1,0.20219,0.06626,0.91047,3.77619,1.97323,0.1,0,0
2,8.823,1.84599,3.57241,2.18994,0.00503,0.88889,0.09887,0.03046,1.09225,3.68688,2.00352,0.0990098,9.802e-06,9.802e-06
3,12.971,0.99995,3.06693,1.46696,0.0017,0.66667,0.03235,0.01618,1.09298,3.63894,2.08083,0.0980192,1.9208e-05,1.9208e-05
4,16.9926,0.93299,2.96144,1.45069,0.00988,1,0.12525,0.04656,1.24915,3.61152,2.47777,0.0970282,2.8218e-05,2.8218e-05
5,21.0101,0.81916,2.91444,1.37749,0.0094,0.77778,0.17533,0.03272,1.42146,3.55859,3.19977,0.0960368,3.6832e-05,3.6832e-05
6,25.0901,0.64869,2.70172,1.22323,0.01098,0.88889,0.22851,0.09431,1.62818,3.72992,3.15958,0.0950451,4.505e-05,4.505e-05
7,29.1311,0.69676,2.60509,1.2684,0.00548,1,0.32881,0.11914,1.45221,3.78713,3.07623,0.0940529,5.2872e-05,5.2872e-05
8,33.2632,0.52322,2.44053,1.12056,0.00504,1,0.2867,0.12595,1.51003,3.84169,3.095,0.0930603,6.0298e-05,6.0298e-05
9,37.3621,0.46134,2.44428,1.0492,0.00527,1,0.29874,0.08568,1.588,3.97859,3.03613,0.0920673,6.7328e-05,6.7328e-05
10,41.42,0.53272,2.34208,1.09398,0.00502,1,0.21899,0.08404,1.57649,3.91257,3.10781,0.091074,7.3962e-05,7.3962e-05
